Id,Name,Description,Price,Image,Category,product_id
5,Bananas,"Deliciously sweet and rich in potassium, bananas are a nutritious and energizing fruit that satisfies your taste buds and supports your active lifestyle.",99,product-images/bananas.jpg,Fruit,3
6,Milk,"Milk is a nutrient-rich food that is an excellent source of protein, calcium, and other essential vitamins and minerals.",119.99,product-images/milk.jpg,Dairy,4
7,Eggs,"Nutritious and versatile, these protein-rich gems are perfect for breakfast or baking, adding delicious flavor to your meals.",459.99,product-images/eggs.jpg,Dairy,5
8,Bread,"Wholesome and comforting, bread is a staple food that complements any meal with its soft texture and versatile flavors.",89.49,product-images/bread.jpg,Bread,6
9,Cheese,"Indulge in the delightful world of cheese, a diverse range of flavors and textures that adds a creamy and savory touch to your dishes.",759,product-images/cheese.jpg,Dairy,7
10,Chicken,"Tender and protein-packed, chicken is a versatile white meat that offers a lean and delicious option for your everyday meals.",1299.99,product-images/chicken.jpg,Meat,8
11,Beef,"Savor the rich taste of beef, a succulent red meat that brings a hearty and satisfying flavor to your favorite recipes.",399.99,product-images/beef.jpg,Meat,9
12,Salmon,"Dive into the goodness of salmon, a pink fish renowned for its delicate taste and abundant omega-3 fatty acids, promoting a healthy heart and brain.",649.99,product-images/salmon.jpg,Fish,10
13,Apples,"Enjoy the crisp and refreshing nature of apples, a delicious and nutritious fruit that adds a touch of sweetness to your snacks and recipes.",249.99,product-images/apples.jpg,Fruit,1
14,Oranges,"Experience the zesty and invigorating flavors of oranges, a citrus fruit bursting with vitamin C and a refreshing burst of citrusy goodness.",75.49,product-images/oranges.jpg,Fruit,2
15,Grapes,"Enjoy the sweet and refreshing taste of grapes, a versatile fruit that is perfect for snacking or adding to salads and desserts.",79.99,product-images/grapes.jpg,Fruit,15
16,Tomatoes,"Versatile and vibrant, tomatoes are a staple ingredient that adds a tangy and savory touch to your salads, sauces, and more.",89.99,product-images/tomatoes.jpg,Vegetable,16
17,Strawberries,"Sweet and juicy, strawberries are a delightful fruit that brings a burst of flavor to your desserts and snacks.",149.99,product-images/strawberries.jpg,Fruit,17
